GeneSet	NGenes	Correlation	Direction	PValue	FDR
HECKER_IFNB1_TARGETS	76	-0.00904102229812232	Up	0.000207812790417779	0.854341778551183
ZHANG_INTERFERON_RESPONSE	22	0.0234849686887806	Up	0.000534972159299201	0.854341778551183
BROWNE_INTERFERON_RESPONSIVE_GENES	63	0.0209474036635609	Up	0.000541109531726099	0.854341778551183
MOSERLE_IFNA_RESPONSE	29	0.120449076431634	Up	0.00063340060980049	0.854341778551183
EINAV_INTERFERON_SIGNATURE_IN_CANCER	26	0.0126264282611376	Up	0.000679599328145439	0.854341778551183
SEITZ_NEOPLASTIC_TRANSFORMATION_BY_8P_DELETION_UP	57	0.00954506125921331	Up	0.000874270687220936	0.854341778551183
GRANDVAUX_IRF3_TARGETS_UP	12	-0.00832667153215102	Up	0.00175045785990655	0.854341778551183
BOSCO_INTERFERON_INDUCED_ANTIVIRAL_MODULE	69	0.0408230711444339	Up	0.00196822650520493	0.854341778551183
ROETH_TERT_TARGETS_UP	13	0.0987050040910304	Up	0.00221776680409171	0.854341778551183
DER_IFN_ALPHA_RESPONSE_UP	69	-0.000715898083770031	Up	0.00231806196594603	0.854341778551183
XIE_ST_HSC_S1PR3_OE_UP	136	-0.0046614896962874	Up	0.0023791285826957	0.854341778551183
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_3D_UP	133	0.0242980058695981	Up	0.00317333280294347	0.854341778551183
DER_IFN_BETA_RESPONSE_UP	100	0.0123044813009274	Up	0.00357734969193335	0.854341778551183
CHANG_IMMORTALIZED_BY_HPV31_DN	41	0.0245728325814138	Up	0.00363835008339447	0.854341778551183
BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_UP	162	0.0216381923630352	Up	0.00378880384593401	0.854341778551183
FARMER_BREAST_CANCER_CLUSTER_1	27	0.101498759074968	Up	0.00431217782089609	0.854341778551183
BECKER_TAMOXIFEN_RESISTANCE_UP	40	-0.00546060468998729	Up	0.00486030114715379	0.854341778551183
XU_AKT1_TARGETS_6HR	25	0.00216576999340602	Up	0.00494594247799456	0.854341778551183
BENNETT_SYSTEMIC_LUPUS_ERYTHEMATOSUS	26	0.0221659844744616	Up	0.00506459376756199	0.854341778551183
LIANG_SILENCED_BY_METHYLATION_2	35	-0.0262823640015716	Up	0.0058409750820031	0.854341778551183
REACTOME_NUCLEAR_SIGNALING_BY_ERBB4	22	0.00734083371130038	Down	0.00619552416345651	0.854341778551183
WP_WHITE_FAT_CELL_DIFFERENTIATION	24	0.000882013243042297	Down	0.00675904753926807	0.854341778551183
CHIANG_LIVER_CANCER_SUBCLASS_INTERFERON_UP	15	-0.0332959461886047	Up	0.0070016607439566	0.854341778551183
BLANCO_MELO_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_A594_CELLS_UP	222	0.00389657105411242	Up	0.00703530600755744	0.854341778551183
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_8D_UP	104	0.00609010403992579	Up	0.00708377468623898	0.854341778551183
