seqnames	start	end	width	strand	gene_id	SYMBOL	gene_name	logFC	logCPM	F	PValue	FDR	mlog10PValue	simple_gene_name
chr3	75678660	75785583	106924	-	ENSG00000227124.11	ZNF717	ZNF717	-10.5	2.92	430	1.21e-10	1.63e-06	9.92	ZNF717
chr1	158831351	158849506	18156	+	ENSG00000163563.8	MNDA	MNDA	3.34	3.67	221	1.91e-09	1.28e-05	8.72	MNDA
chr1	78649796	78664078	14283	+	ENSG00000137965.11	IFI44	IFI44	2.14	3.92	177	7.18e-09	3.22e-05	8.14	IFI44
chr14	75079353	75127344	47992	-	ENSG00000119638.14	NEK9	NEK9	-0.845	6.71	114	9.97e-08	0.000335	7	NEK9
chr1	78619902	78646145	26244	+	ENSG00000137959.17	IFI44L	IFI44L	2.99	4.15	106	1.45e-07	0.000343	6.84	IFI44L
chr3	196980590	197029835	49246	-	ENSG00000163975.14	MELTF	MELTF	-1.34	5.66	105	1.53e-07	0.000343	6.81	MELTF
chr6	41072974	41102403	29430	+	ENSG00000001167.15	NFYA	NFYA	-0.897	5.78	90.4	3.67e-07	0.000705	6.43	NFYA
chr1	89181144	89198942	17799	-	ENSG00000162654.9	GBP4	GBP4	1.56	2.69	79.4	7.64e-07	0.00121	6.12	GBP4
chr3	158962235	159897629	935395	+	ENSG00000283154.3	SCHIP1	SCHIP1	5.58	-1.55	78.5	8.1e-07	0.00121	6.09	SCHIP1
chr3	190305707	190322446	16740	-	ENSG00000163347.6	CLDN1	CLDN1	1.93	2.52	76.8	9.14e-07	0.00123	6.04	CLDN1
chr7	29806486	29917061	110576	+	ENSG00000122574.12	WIPF3	WIPF3	-2.19	1.72	67.5	1.87e-06	0.00228	5.73	WIPF3
chr6	41033627	41097787	64161	-	ENSG00000124596.17	OARD1	OARD1	-1.34	4.18	63.4	2.63e-06	0.00294	5.58	OARD1
chr17	48540894	48545109	4216	-	ENSG00000173917.11	HOXB2	HOXB2	4.42	-0.684	57.6	4.38e-06	0.00452	5.36	HOXB2
chr1	89051882	89065360	13479	-	ENSG00000117228.11	GBP1	GBP1	5.05	-0.594	56	5.07e-06	0.00459	5.29	GBP1
chr1	153627926	153632039	4114	+	ENSG00000160678.12	S100A1	S100A1	-3.65	1.5	55.9	5.12e-06	0.00459	5.29	S100A1
chr2	161992245	162074394	82150	-	ENSG00000197635.11	DPP4	DPP4	-2.34	2.56	51.6	7.82e-06	0.00656	5.11	DPP4
chr4	147480917	147544954	64038	+	ENSG00000151617.17	EDNRA	EDNRA	1.22	3.88	48.4	1.09e-05	0.00863	4.96	EDNRA
chr1	161541759	161550968	9210	-	ENSG00000203747.13	FCGR3A	FCGR3A	0.815	5.02	47.6	1.18e-05	0.00883	4.93	FCGR3A
chr10	133237855	133241928	4074	+	ENSG00000151650.8	VENTX	VENTX	1.4	1.61	46.6	1.32e-05	0.00903	4.88	VENTX
chr9	25676969	25678444	1476	-	ENSG00000198680.6	TUSC1	TUSC1	-2.61	1.37	46.3	1.36e-05	0.00903	4.87	TUSC1
