seqnames	start	end	width	strand	gene_id	SYMBOL	gene_name	logFC	logCPM	F	PValue	FDR	mlog10PValue	simple_gene_name
chr3	196980590	197029835	49246	-	ENSG00000163975.14	MELTF	MELTF	-1.94	5.66	201	3.39e-09	4.55e-05	8.47	MELTF
chr3	44712643	44723831	11189	+	ENSG00000196653.12	ZNF502	ZNF502	-7.8	0.278	137	7.48e-08	0.000503	7.13	ZNF502
chr3	158962235	159897629	935395	+	ENSG00000283154.3	SCHIP1	SCHIP1	6.11	-1.55	109	1.29e-07	0.000578	6.89	SCHIP1
chr14	71932429	72566530	634102	+	ENSG00000182732.18	RGS6	RGS6	-3.19	1.4	72.3	1.28e-06	0.00431	5.89	RGS6
chrX	135889205	135913062	23858	+	ENSG00000181433.11	SAGE1	SAGE1	4.67	0.196	61.1	3.2e-06	0.00861	5.49	SAGE1
chr3	113532555	113629575	97021	+	ENSG00000072858.11	SIDT1	SIDT1	-1.72	2.88	59	3.85e-06	0.00861	5.42	SIDT1
chr19	55090914	55117637	26724	-	ENSG00000125503.13	PPP1R12C	PPP1R12C	-0.771	5.66	55.6	5.27e-06	0.0101	5.28	PPP1R12C
chr10	62811996	62819167	7172	-	ENSG00000122877.18	EGR2	EGR2	-2.31	4.6	47.7	1.18e-05	0.019	4.93	EGR2
chr15	51341655	51408005	66351	+	ENSG00000186417.14	GLDN	GLDN	-1.93	3.04	47	1.27e-05	0.019	4.9	GLDN
chr1	62194849	62212328	17480	+	ENSG00000240563.2	L1TD1	L1TD1	0.747	5.21	44.3	1.71e-05	0.021	4.77	L1TD1
chr3	53328963	53813733	484771	+	ENSG00000157388.20	CACNA1D	CACNA1D	-0.951	3.81	44.2	1.72e-05	0.021	4.76	CACNA1D
chr1	89181144	89198942	17799	-	ENSG00000162654.9	GBP4	GBP4	1.16	2.69	42.3	2.14e-05	0.024	4.67	GBP4
chr5	150357629	150400308	42680	+	ENSG00000070814.22	TCOF1	TCOF1	0.621	6.02	41.6	2.36e-05	0.0243	4.63	TCOF1
chr11	119355215	119381711	26497	-	ENSG00000036672.16	USP2	USP2	-2.29	0.115	40.1	2.8e-05	0.0269	4.55	USP2
chr5	141475947	141512977	37031	+	ENSG00000240184.7	PCDHGC3	PCDHGC3	-4.1	5.42	35.6	5.06e-05	0.0453	4.3	PCDHGC3
chr2	47695530	47810063	114534	+	ENSG00000116062.19	MSH6	MSH6	0.708	5.55	34.2	6.07e-05	0.0477	4.22	MSH6
chr1	89051882	89065360	13479	-	ENSG00000117228.11	GBP1	GBP1	4.24	-0.594	33.8	6.42e-05	0.0477	4.19	GBP1
chr13	113820549	113864076	43528	-	ENSG00000183087.15	GAS6	GAS6	-2.09	4.09	33.8	6.43e-05	0.0477	4.19	GAS6
chr1	245154985	245709432	554448	+	ENSG00000162849.16	KIF26B	KIF26B	-1.03	4.45	33.2	7.06e-05	0.0477	4.15	KIF26B
chr1	17539698	17697874	158177	+	ENSG00000074964.17	ARHGEF10L	ARHGEF10L	-0.607	5.05	32.9	7.29e-05	0.0477	4.14	ARHGEF10L
chr7	150323263	150338156	14894	+	ENSG00000127399.15	LRRC61	LRRC61	-7.08	-0.354	38.3	7.45e-05	0.0477	4.13	LRRC61
chr11	125063302	125090516	27215	+	ENSG00000134955.12	SLC37A2	SLC37A2	-1.63	8.21	31.2	9.33e-05	0.0559	4.03	SLC37A2
chr17	36194869	36196758	1890	-	ENSG00000276085.1	CCL3L1	CCL3L1	-1.88	3.91	30.6	0.000103	0.0559	3.99	CCL3L1
chr3	75678660	75785583	106924	-	ENSG00000227124.11	ZNF717	ZNF717	-1.11	2.92	32.6	0.000104	0.0559	3.98	ZNF717
chr12	14774405	14778002	3598	+	ENSG00000246705.5	H2AJ	H2AJ	-0.617	4.68	30.5	0.000104	0.0559	3.98	H2AJ
chr1	158831351	158849506	18156	+	ENSG00000163563.8	MNDA	MNDA	1.35	3.67	30	0.000113	0.0582	3.95	MNDA
chr8	133454848	133571940	117093	-	ENSG00000008513.16	ST3GAL1	ST3GAL1	-1.18	5.58	29.7	0.000119	0.0583	3.93	ST3GAL1
chr10	73631612	73641474	9863	-	ENSG00000177791.12	MYOZ1	MYOZ1	-1.72	1.85	29.5	0.000122	0.0583	3.92	MYOZ1
chr5	169583636	169604778	21143	+	ENSG00000040275.17	SPDL1	SPDL1	0.819	3.88	29.1	0.00013	0.059	3.89	SPDL1
chr4	86594315	86815171	220857	+	ENSG00000163629.13	PTPN13	PTPN13	0.839	4.97	28.7	0.000138	0.059	3.86	PTPN13
chr16	80597907	80804598	206692	-	ENSG00000166446.15	CDYL2	CDYL2	1.78	2.06	28.7	0.000138	0.059	3.86	CDYL2
chr6	89926528	90296843	370316	-	ENSG00000112182.16	BACH2	BACH2	-1.81	1.03	28.6	0.000141	0.059	3.85	BACH2
chr4	2059327	2069089	9763	+	ENSG00000185818.8	NAT8L	NAT8L	-1.12	4.91	28.2	0.000151	0.061	3.82	NAT8L
chr1	161541759	161550968	9210	-	ENSG00000203747.13	FCGR3A	FCGR3A	0.63	5.02	27.9	0.000158	0.061	3.8	FCGR3A
chr1	44635238	44674481	39244	-	ENSG00000126106.14	TMEM53	TMEM53	-0.993	2.99	27.8	0.000159	0.061	3.8	TMEM53
chr20	5114953	5126626	11674	-	ENSG00000132646.11	PCNA	PCNA	0.821	6.17	27.4	0.000171	0.0626	3.77	PCNA
chr2	136114349	136119177	4829	-	ENSG00000121966.8	CXCR4	CXCR4	-1.13	5.11	27.3	0.000172	0.0626	3.76	CXCR4
chr5	69280175	69332809	52635	-	ENSG00000183323.13	CCDC125	CCDC125	-0.721	4.69	27.1	0.000179	0.0633	3.75	CCDC125
chr19	2476122	2478259	2138	+	ENSG00000099860.9	GADD45B	GADD45B	-2.48	3.16	26.9	0.000185	0.0639	3.73	GADD45B
chr3	127672935	127680926	7992	+	ENSG00000114626.18	ABTB1	ABTB1	-0.561	5.36	26.6	0.000194	0.0651	3.71	ABTB1
chr19	2511219	2702694	191476	-	ENSG00000176533.13	GNG7	GNG7	-1.46	5.05	26.2	0.000208	0.0659	3.68	GNG7
chr3	48744597	48847874	103278	-	ENSG00000114302.17	PRKAR2A	PRKAR2A	0.478	7.11	26.1	0.00021	0.0659	3.68	PRKAR2A
chr8	119833976	119855894	21919	-	ENSG00000136982.6	DSCC1	DSCC1	1.45	1.25	26.1	0.000211	0.0659	3.68	DSCC1
chr2	171922448	171983686	61239	+	ENSG00000128708.13	HAT1	HAT1	0.603	5.12	25.6	0.00023	0.0702	3.64	HAT1
chr6	28994785	29005316	10532	-	ENSG00000197935.7	ZNF311	ZNF311	-6	-1.01	27	0.000235	0.0702	3.63	ZNF311
chr13	60396457	60573878	177422	+	ENSG00000083544.16	TDRD3	TDRD3	0.54	3.4	25.2	0.000245	0.0709	3.61	TDRD3
chr19	9853718	9936515	82798	-	ENSG00000105088.9	OLFM2	OLFM2	-2.36	1.52	25.2	0.000248	0.0709	3.6	OLFM2
chr2	54723499	54972025	248527	+	ENSG00000214595.13	EML6	EML6	-1.62	2.33	24.7	0.000267	0.0709	3.57	EML6
chr7	95583499	95596516	13018	-	ENSG00000004799.8	PDK4	PDK4	-2.45	2.38	24.5	0.00028	0.0709	3.55	PDK4
chr17	82321024	82334074	13051	-	ENSG00000141574.8	SECTM1	SECTM1	-1.56	1.44	24.4	0.000281	0.0709	3.55	SECTM1
chr17	76735865	76781449	45585	+	ENSG00000092931.12	MFSD11	MFSD11	-0.489	5.38	24.4	0.000284	0.0709	3.55	MFSD11
chr15	88898683	88913468	14786	-	ENSG00000140545.16	MFGE8	MFGE8	-0.599	4.64	24.4	0.000284	0.0709	3.55	MFGE8
chr1	160678746	160711831	33086	-	ENSG00000117091.10	CD48	CD48	0.441	6.26	24.3	0.000287	0.0709	3.54	CD48
chr3	48856926	48898904	41979	-	ENSG00000178537.10	SLC25A20	SLC25A20	-0.784	4.53	24.3	0.00029	0.0709	3.54	SLC25A20
chr1	32361270	32364278	3009	-	ENSG00000225828.2	FAM229A	FAM229A	-2.15	-0.208	24.2	0.000292	0.0709	3.53	FAM229A
chr11	61222347	61231694	9348	+	ENSG00000229183.10	PGA4	PGA4	0.948	6.67	24.1	3e-04	0.0709	3.52	PGA4
chrX	151953124	151974680	21557	-	ENSG00000102287.19	GABRE	GABRE	-1.74	3.69	24	0.000305	0.0709	3.52	GABRE
chr14	103697609	103715504	17896	-	ENSG00000126215.14	XRCC3	XRCC3	0.963	3.3	23.8	0.000314	0.0709	3.5	XRCC3
chr2	9206765	9405683	198919	+	ENSG00000151693.11	ASAP2	ASAP2	3.28	0.339	23.6	0.000326	0.0709	3.49	ASAP2
chr11	64234584	64239264	4681	+	ENSG00000173511.10	VEGFB	VEGFB	-0.938	6.24	23.6	0.000328	0.0709	3.48	VEGFB
chr18	34976928	35143470	166543	+	ENSG00000166974.13	MAPRE2	MAPRE2	0.424	6.36	23.6	0.000329	0.0709	3.48	MAPRE2
chr1	226548764	226609230	60467	+	ENSG00000203685.11	STUM	STUM	-3.1	-0.695	23.4	0.000338	0.0709	3.47	STUM
chr2	156324437	156342348	17912	-	ENSG00000153234.16	NR4A2	NR4A2	-0.907	2.71	23.3	0.000343	0.0709	3.46	NR4A2
chr7	150722253	150750033	27781	+	ENSG00000196329.12	GIMAP5	GIMAP5	-0.931	4.41	23.3	0.000346	0.0709	3.46	GIMAP5
chr12	118013588	118033130	19543	+	ENSG00000111445.14	RFC5	RFC5	1.02	3.29	23.2	0.000355	0.0709	3.45	RFC5
chr22	50201011	50217616	16606	+	ENSG00000073169.15	SELENOO	SELENOO	-0.468	4.58	23.1	0.000357	0.0709	3.45	SELENOO
chr12	6828407	6839847	11441	+	ENSG00000110811.20	P3H3	P3H3	-1.54	0.181	23	0.000365	0.0709	3.44	P3H3
chr12	6913745	6923698	9954	+	ENSG00000111674.9	ENO2	ENO2	-1.55	0.626	23	0.000367	0.0709	3.43	ENO2
chr1	153618787	153631360	12574	-	ENSG00000189171.15	S100A13	S100A13	-1.06	3.12	22.9	0.000371	0.0709	3.43	S100A13
chr8	41529218	41545030	15813	+	ENSG00000147536.12	GINS4	GINS4	0.908	3.38	22.8	0.000377	0.0709	3.42	GINS4
chr1	113813811	113871753	57943	-	ENSG00000134242.16	PTPN22	PTPN22	0.68	4.82	22.8	0.000379	0.0709	3.42	PTPN22
chr7	28995235	29195451	200217	-	ENSG00000106066.15	CPVL	CPVL	-0.539	7.43	22.8	0.00038	0.0709	3.42	CPVL
chr1	6467122	6520074	52953	-	ENSG00000171680.23	PLEKHG5	PLEKHG5	-3.45	3.95	22.7	0.00039	0.071	3.41	PLEKHG5
chr19	44382298	44401608	19311	-	ENSG00000267508.6	ZNF285	ZNF285	-2.54	1.2	22.6	0.000391	0.071	3.41	ZNF285
chr4	152769354	152779730	10377	-	ENSG00000169989.3	TIGD4	TIGD4	-1.02	2.61	22.5	0.000398	0.0711	3.4	TIGD4
chr19	35739252	35745432	6181	-	ENSG00000267120.3	NA	NA	-0.957	3.74	22.5	0.000402	0.0711	3.4	ENSG00000267120.3
chr9	99821855	99866891	45037	+	ENSG00000119508.18	NR4A3	NR4A3	-1.16	3.27	22.4	0.000412	0.0719	3.39	NR4A3
chr5	112142441	112419313	276873	-	ENSG00000129595.14	EPB41L4A	EPB41L4A	1.62	-0.713	22.2	0.000424	0.073	3.37	EPB41L4A
chr1	78619902	78646145	26244	+	ENSG00000137959.17	IFI44L	IFI44L	1.46	4.15	21.9	0.000447	0.075	3.35	IFI44L
chr15	98648539	98964530	315992	+	ENSG00000140443.15	IGF1R	IGF1R	-1	3.19	21.9	0.000452	0.075	3.35	IGF1R
chr12	27332836	27425289	92454	+	ENSG00000029153.15	ARNTL2	ARNTL2	1.59	2.9	21.9	0.000453	0.075	3.34	ARNTL2
chr7	128027071	128032107	5037	-	ENSG00000128594.8	LRRC4	LRRC4	-1.11	5.14	21.6	0.000472	0.075	3.33	LRRC4
chr12	57089043	57095476	6434	+	ENSG00000166886.13	NAB2	NAB2	-1.04	4.92	21.6	0.000474	0.075	3.32	NAB2
chr12	50103982	50111313	7332	+	ENSG00000167588.13	GPD1	GPD1	-3.65	1.66	21.6	0.000474	0.075	3.32	GPD1
chr16	58295080	58406147	111068	+	ENSG00000181938.14	GINS3	GINS3	0.743	3.34	21.6	0.000475	0.075	3.32	GINS3
chr12	55752463	55817724	65262	-	ENSG00000205323.9	SARNP	SARNP	0.563	4.91	21.2	0.000515	0.0777	3.29	SARNP
chr12	53708517	53727745	19229	-	ENSG00000012822.16	CALCOCO1	CALCOCO1	-0.652	6.73	21.2	0.000518	0.0777	3.29	CALCOCO1
chr2	135839626	135876443	36818	-	ENSG00000076003.5	MCM6	MCM6	0.804	5.53	21	0.000538	0.0777	3.27	MCM6
chr18	55222185	55664787	442603	-	ENSG00000196628.20	TCF4	TCF4	0.444	8.24	20.9	0.000542	0.0777	3.27	TCF4
chr20	5950652	5998977	48326	+	ENSG00000125885.13	MCM8	MCM8	0.98	3.92	20.9	0.000544	0.0777	3.26	MCM8
chr1	38043829	38046793	2965	-	ENSG00000185668.8	POU3F1	POU3F1	-2.11	0.557	20.9	0.000546	0.0777	3.26	POU3F1
chr11	130159782	130210362	50581	+	ENSG00000149418.11	ST14	ST14	-0.818	6.29	20.8	0.000553	0.0777	3.26	ST14
chr7	549197	727650	178454	-	ENSG00000188191.16	PRKAR1B	PRKAR1B	0.796	2.74	20.8	0.000554	0.0777	3.26	PRKAR1B
chr17	40309180	40357643	48464	+	ENSG00000131759.18	RARA	RARA	-0.723	4.3	20.7	0.000564	0.0777	3.25	RARA
chr15	89830599	89894638	64040	-	ENSG00000157823.17	AP3S2	AP3S2	-0.438	5.31	20.6	0.000576	0.0777	3.24	AP3S2
chr4	56435741	56464578	28838	+	ENSG00000128050.9	PAICS	PAICS	0.629	6.49	20.5	0.000588	0.0777	3.23	PAICS
chr7	137227341	137343774	116434	-	ENSG00000105894.13	PTN	PTN	-2.38	-0.805	20.5	0.000589	0.0777	3.23	PTN
chr12	112026689	112108796	82108	-	ENSG00000111300.10	NAA25	NAA25	0.521	5.43	20.5	0.000589	0.0777	3.23	NAA25
chr10	70052544	70112282	59739	+	ENSG00000099284.15	MACROH2A2	MACROH2A2	1.13	4.03	20.4	0.000602	0.0777	3.22	MACROH2A2
chr21	42653621	42775509	121889	+	ENSG00000160191.18	PDE9A	PDE9A	-1.02	3.16	20.4	0.000603	0.0777	3.22	PDE9A
chr19	49528003	49546962	18960	+	ENSG00000142552.8	RCN3	RCN3	-0.412	6	20.4	0.000608	0.0777	3.22	RCN3
chr12	104801801	104958744	156944	-	ENSG00000136052.10	SLC41A2	SLC41A2	-1.13	3.6	20.4	0.000609	0.0777	3.22	SLC41A2
chr17	80219699	80253500	33802	+	ENSG00000181045.15	SLC26A11	SLC26A11	-1.51	4.62	20.3	0.000612	0.0777	3.21	SLC26A11
chr4	76949751	77040384	90634	+	ENSG00000138758.12	SEPTIN11	SEPTIN11	0.431	6.1	20.3	0.000614	0.0777	3.21	SEPTIN11
chr17	7661779	7687538	25760	-	ENSG00000141510.18	TP53	TP53	0.731	6.26	20.3	0.000616	0.0777	3.21	TP53
chr20	10637684	10673999	36316	-	ENSG00000101384.12	JAG1	JAG1	-1.79	3.23	20.3	0.000619	0.0777	3.21	JAG1
chr17	74987632	75005800	18169	+	ENSG00000109089.7	CDR2L	CDR2L	-0.93	4.09	20.3	0.000619	0.0777	3.21	CDR2L
chr19	33299934	33302534	2601	-	ENSG00000245848.3	CEBPA	CEBPA	-0.798	7.9	20.1	0.000645	0.0798	3.19	CEBPA
chr1	7915871	7943165	27295	-	ENSG00000049249.10	TNFRSF9	TNFRSF9	1.02	1.64	20	0.000648	0.0798	3.19	TNFRSF9
chr2	181457202	181538940	81739	+	ENSG00000115232.14	ITGA4	ITGA4	0.547	7.01	19.9	0.000669	0.0811	3.17	ITGA4
chr6	47231532	47309905	78374	-	ENSG00000146072.6	TNFRSF21	TNFRSF21	-1.05	3.96	19.9	0.00067	0.0811	3.17	TNFRSF21
chr19	5680604	5688523	7920	+	ENSG00000167733.14	HSD11B1L	HSD11B1L	-1.47	1.07	19.7	0.000693	0.083	3.16	HSD11B1L
chr17	48540894	48545109	4216	-	ENSG00000173917.11	HOXB2	HOXB2	2.95	-0.684	19.7	0.000698	0.083	3.16	HOXB2
chr22	20017014	20067164	50151	+	ENSG00000183597.16	TANGO2	TANGO2	-0.662	6.31	19.6	0.00071	0.0831	3.15	TANGO2
chr10	110497907	110511533	13627	+	ENSG00000138166.6	DUSP5	DUSP5	-1.55	2.56	19.6	0.000716	0.0831	3.15	DUSP5
chr8	33547754	33567128	19375	-	ENSG00000133874.2	RNF122	RNF122	-0.86	2.53	19.5	0.000721	0.0831	3.14	RNF122
chr10	44370165	44386493	16329	-	ENSG00000107562.17	CXCL12	CXCL12	-3.95	1.37	19.5	0.000723	0.0831	3.14	CXCL12
chr16	57358783	57366189	7407	+	ENSG00000102962.5	CCL22	CCL22	-0.938	3.83	19.4	0.000735	0.0837	3.13	CCL22
chr7	28299321	28825894	526574	+	ENSG00000146592.17	CREB5	CREB5	1.03	4.63	19.3	0.000753	0.0843	3.12	CREB5
chr1	78649796	78664078	14283	+	ENSG00000137965.11	IFI44	IFI44	0.762	3.92	19.3	0.000754	0.0843	3.12	IFI44
chr6	46129989	46146688	16700	+	ENSG00000001561.7	ENPP4	ENPP4	0.769	3.04	19.3	0.000759	0.0843	3.12	ENPP4
chr12	43718992	43758793	39802	-	ENSG00000129317.15	PUS7L	PUS7L	1.03	4.69	19.2	0.000766	0.0844	3.12	PUS7L
chr10	88819896	88851844	31949	-	ENSG00000152766.6	ANKRD22	ANKRD22	1.37	1.5	19.1	0.000783	0.0846	3.11	ANKRD22
chr11	18394560	18408425	13866	+	ENSG00000134333.15	LDHA	LDHA	0.508	7.29	19	0.000799	0.0846	3.1	LDHA
chr2	127418427	127429242	10816	+	ENSG00000115718.18	PROC	PROC	-1.46	3.05	19	0.000805	0.0846	3.09	PROC
chr8	21908873	21913690	4818	-	ENSG00000147443.13	DOK2	DOK2	-1.3	2.77	19	0.000805	0.0846	3.09	DOK2
chr8	47960185	47978160	17976	+	ENSG00000104738.19	MCM4	MCM4	1.34	5.77	19	0.000809	0.0846	3.09	MCM4
chr1	205976740	206003461	26722	-	ENSG00000276600.5	RAB7B	RAB7B	-2.06	3.68	19	0.00081	0.0846	3.09	RAB7B
chr1	241847967	241895148	47182	+	ENSG00000174371.17	EXO1	EXO1	1.55	2.55	18.9	0.000812	0.0846	3.09	EXO1
chr12	111766887	111817532	50646	+	ENSG00000111275.13	ALDH2	ALDH2	-0.661	8.05	18.9	0.000824	0.0851	3.08	ALDH2
chr11	35138882	35232402	93521	+	ENSG00000026508.21	CD44	CD44	0.789	4.31	18.7	0.000849	0.0852	3.07	CD44
chr20	2835314	2841190	5877	-	ENSG00000132635.17	PCED1A	PCED1A	-0.658	5.86	18.7	0.000849	0.0852	3.07	PCED1A
chr11	60185657	60318080	132424	+	ENSG00000110079.19	MS4A4A	MS4A4A	-0.639	4.35	18.7	0.000853	0.0852	3.07	MS4A4A
chr16	30553764	30558374	4611	-	ENSG00000169951.10	ZNF764	ZNF764	-0.483	3.85	18.7	0.000854	0.0852	3.07	ZNF764
chr12	56416363	56449426	33064	-	ENSG00000111602.12	TIMELESS	TIMELESS	0.646	5.84	18.7	0.000856	0.0852	3.07	TIMELESS
chrX	1268800	1310381	41582	+	ENSG00000198223.18	CSF2RA	CSF2RA	-0.506	7.72	18.6	0.000883	0.0852	3.05	CSF2RA
chr19	4639516	4655568	16053	+	ENSG00000185361.9	TNFAIP8L1	TNFAIP8L1	-0.48	7.13	18.5	0.000885	0.0852	3.05	TNFAIP8L1
chr8	19901717	19967259	65543	+	ENSG00000175445.17	LPL	LPL	-1.6	7.46	18.5	0.000887	0.0852	3.05	LPL
chr9	13105706	13279692	173987	-	ENSG00000107186.17	MPDZ	MPDZ	-1.14	6.12	18.5	0.000891	0.0852	3.05	MPDZ
chr6	52264014	52284881	20868	-	ENSG00000112118.20	MCM3	MCM3	1	6.18	18.5	0.000897	0.0852	3.05	MCM3
chr17	28357642	28363683	6042	+	ENSG00000244045.13	TMEM199	TMEM199	-0.531	4.96	18.4	0.000909	0.0852	3.04	TMEM199
chr14	99737693	99942060	204368	+	ENSG00000066629.19	EML1	EML1	-2.19	2.75	18.4	0.000918	0.0852	3.04	EML1
chr17	64039080	64130819	91740	-	ENSG00000178607.17	ERN1	ERN1	-0.376	6.03	18.4	0.000922	0.0852	3.04	ERN1
chr19	41219223	41261766	42544	+	ENSG00000167601.12	AXL	AXL	-0.491	9.15	18.3	0.000927	0.0852	3.03	AXL
chr7	135557917	135648757	90841	+	ENSG00000155561.15	NUP205	NUP205	0.476	6.01	18.2	0.000943	0.0852	3.03	NUP205
chr9	108942569	109013522	70954	-	ENSG00000119326.15	CTNNAL1	CTNNAL1	1.06	2.93	18.2	0.000946	0.0852	3.02	CTNNAL1
chr4	25160663	25279204	118542	+	ENSG00000038210.14	PI4K2B	PI4K2B	0.829	4.09	18.1	0.00097	0.0852	3.01	PI4K2B
chr9	1980290	2193624	213335	+	ENSG00000080503.25	SMARCA2	SMARCA2	0.476	7.46	18.1	0.000979	0.0852	3.01	SMARCA2
chr5	81412804	81751797	338994	-	ENSG00000145687.17	SSBP2	SSBP2	-0.769	3.46	18.1	0.000981	0.0852	3.01	SSBP2
chr4	155854738	155920406	65669	+	ENSG00000151790.9	TDO2	TDO2	2	0.441	18.1	0.000983	0.0852	3.01	TDO2
chr6	3268962	3457050	188089	-	ENSG00000137266.15	SLC22A23	SLC22A23	-1.49	3.37	18	0.000994	0.0852	3	SLC22A23
